source,query,run_timestamp_utc,n_hits,note
hf_model_search,system-one,2026-09-24T14:13:50.009608,27,
hf_model_search,system one,2026-09-24T14:14:20.897042,27,
hf_model_search,systemone,2026-09-24T14:14:45.031614,21,
hf_model_search,system1,2026-09-24T14:15:12.552261,24,
hf_model_search,decision model,2026-09-24T14:16:34.030503,73,
hf_model_search,decision-model,2026-09-24T14:17:55.498170,73,
hf_model_search,typed decision,2026-09-24T14:18:35.135985,35,
hf_model_search,typed-decision,2026-09-24T14:19:14.738949,35,
hf_model_search,jev,2026-09-24T14:22:46.498825,191,
hf_model_search,laya,2026-09-24T14:26:28.274768,200,
hf_model_search,kev,2026-09-24T14:30:08.893740,200,
hf_model_search,nimble,2026-09-24T14:33:50.359772,200,
hf_model_search,decider,2026-09-24T14:34:29.923687,35,
hf_model_search,rlcd,2026-09-24T14:34:54.215301,21,
hf_model_search,this-that,2026-09-24T14:35:07.199077,10,
hf_dataset_search,typed-decisions,2026-09-24T14:35:07.882127,12,
hf_dataset_search,laya-jev,2026-09-24T14:35:08.978764,3,
hf_dataset_search,jev,2026-09-24T14:35:10.121679,80,
hf_dataset_search,system-one,2026-09-24T14:35:11.194181,17,
hf_dataset_search,decision,2026-09-24T14:35:12.307307,200,
github_search,system one model,2026-09-24T14:36:08.654653,100,
github_search,system-one jev,2026-09-24T14:36:11.473266,100,
github_search,typesafe jev,2026-09-24T14:36:14.395060,100,
github_search,decision model jev,2026-09-24T14:36:17.692361,100,
github_search,laya decision,2026-09-24T14:36:20.250501,100,
github_search,kev systemone,2026-09-24T14:36:20.661466,2,
github_search,nimble decision model,2026-09-24T14:36:21.743804,3,
github_search,typed decisions,2026-09-24T14:36:24.982588,100,
github_search,jev reverse engineering,2026-09-24T14:36:25.381892,3,
